Bat1,Runs,BF,SR,4s,6s,,Opposition,Ground,Start Date,Game
0,0,1,0,0,0,,v South Africa,Lahore,11-Feb-21,T20I # 1120
5,5,4,125,1,0,,v South Africa,Lahore,13-Feb-21,T20I # 1121
44,44,30,146.66,5,1,,v South Africa,Lahore,14-Feb-21,T20I # 1122
14,14,14,100,3,0,,v South Africa,Johannesburg,10-Apr-21,T20I # 1145
50,50,50,100,5,0,,v South Africa,Johannesburg,12-Apr-21,T20I # 1146
122,122,59,206.77,15,4,,v South Africa,Centurion,14-Apr-21,T20I # 1147
24,24,23,104.34,3,0,,v South Africa,Centurion,16-Apr-21,T20I # 1148
2,2,4,50,0,0,,v Zimbabwe,Harare,21-Apr-21,T20I # 1154
41,41,45,91.11,5,0,,v Zimbabwe,Harare,23-Apr-21,T20I # 1156
52,52,46,113.04,5,0,,v Zimbabwe,Harare,25-Apr-21,T20I # 1158
85,85,49,173.46,8,3,,v England,Nottingham,16-Jul-21,T20I # 1191
22,22,16,137.5,3,0,,v England,Leeds,18-Jul-21,T20I # 1193
11,11,13,84.61,1,0,,v England,Manchester,20-Jul-21,T20I # 1195
TDNB,-,-,-,-,-,,v West Indies,Bridgetown,28-Jul-21,T20I # 1205
51,51,40,127.5,4,2,,v West Indies,Providence,31-Jul-21,T20I # 1208
TDNB,-,-,-,-,-,,v West Indies,Providence,01-Aug-21,T20I # 1209
TDNB,-,-,-,-,-,,v West Indies,Providence,03-Aug-21,T20I # 1211
68*,68,52,130.76,6,2,,v India,Dubai (DICS),24-Oct-21,T20I # 1361
9,9,11,81.81,1,0,,v New Zealand,Sharjah,26-Oct-21,T20I # 1367
51,51,47,108.51,4,0,,v Afghanistan,Dubai (DICS),29-Oct-21,T20I # 1377
70,70,49,142.85,7,0,,v Namibia,Abu Dhabi,02-Nov-21,T20I # 1386
66,66,47,140.42,5,3,,v Scotland,Sharjah,07-Nov-21,T20I # 1406
39,39,34,114.7,5,0,,v Australia,Dubai (DICS),11-Nov-21,T20I # 1420
7,7,10,70,1,0,,v Bangladesh,Mirpur,19-Nov-21,T20I # 1439
1,1,5,20,0,0,,v Bangladesh,Mirpur,20-Nov-21,T20I # 1443
19,19,25,76,2,0,,v Bangladesh,Mirpur,22-Nov-21,T20I # 1447
0,0,2,0,0,0,,v West Indies,Karachi,13-Dec-21,T20I # 1448
7,7,7,100,1,0,,v West Indies,Karachi,14-Dec-21,T20I # 1449
79,79,53,149.05,9,2,,v West Indies,Karachi,16-Dec-21,T20I # 1450
66,66,46,143.47,6,2,,v Australia,Lahore,05-Apr-22,T20I # 1504
10,10,9,111.11,2,0,,v India,Dubai (DICS),28-Aug-22,T20I # 1750
9,9,8,112.5,1,0,,v Hong Kong,Sharjah,02-Sep-22,T20I # 1756
14,14,10,140,2,0,,v India,Dubai (DICS),04-Sep-22,T20I # 1758
0,0,1,0,0,0,,v Afghanistan,Sharjah,07-Sep-22,T20I # 1760
30,30,29,103.44,2,0,,v Sri Lanka,Dubai (DICS),09-Sep-22,T20I # 1764
5,5,6,83.33,0,0,,v Sri Lanka,Dubai (DICS),11-Sep-22,T20I # 1769
31,31,24,129.16,3,0,,v England,Karachi,20-Sep-22,T20I # 1789
110*,110,66,166.66,11,5,,v England,Karachi,22-Sep-22,T20I # 1793
8,8,6,133.33,1,0,,v England,Karachi,23-Sep-22,T20I # 1795
36,36,28,128.57,3,0,,v England,Karachi,25-Sep-22,T20I # 1798
9,9,12,75,1,0,,v England,Lahore,28-Sep-22,T20I # 1801
87*,87,59,147.45,7,3,,v England,Lahore,30-Sep-22,T20I # 1802
4,4,4,100,1,0,,v England,Lahore,02-Oct-22,T20I # 1804
22,22,25,88,4,0,,v Bangladesh,Christchurch,07-Oct-22,T20I # 1807
79*,79,53,149.05,11,0,,v New Zealand,Christchurch,08-Oct-22,T20I # 1809
21,21,23,91.3,3,0,,v New Zealand,Christchurch,11-Oct-22,T20I # 1815
55,55,40,137.5,9,0,,v Bangladesh,Christchurch,13-Oct-22,T20I # 1818
15,15,14,107.14,3,0,,v New Zealand,Christchurch,14-Oct-22,T20I # 1819
0,0,1,0,0,0,,v India,Melbourne,23-Oct-22,T20I # 1842
4,4,9,44.44,1,0,,v Zimbabwe,Perth,27-Oct-22,T20I # 1849
4,4,5,80,1,0,,v Netherlands,Perth,30-Oct-22,T20I # 1852
6,6,15,40,0,0,,v South Africa,Sydney,03-Nov-22,T20I # 1861
25,25,33,75.75,2,0,,v Bangladesh,Adelaide,06-Nov-22,T20I # 1872
53,53,42,126.19,7,0,,v New Zealand,Sydney,09-Nov-22,T20I # 1877
32,32,28,114.28,2,0,,v England,Melbourne,13-Nov-22,T20I # 1879
9,9,7,128.57,2,0,,v New Zealand,Lahore,14-Apr-23,T20I # 2045
101*,101,58,174.13,11,3,,v New Zealand,Lahore,15-Apr-23,T20I # 2046
1,1,6,16.66,0,0,,v New Zealand,Lahore,17-Apr-23,T20I # 2047
TDNB,-,-,-,-,-,,v New Zealand,Rawalpindi,20-Apr-23,T20I # 2048
19,19,18,105.55,3,0,,v New Zealand,Rawalpindi,24-Apr-23,T20I # 2049
57,57,35,162.85,6,2,,v New Zealand,Auckland,12-Jan-24,T20I # 2429
66,66,43,153.48,7,2,,v New Zealand,Hamilton,14-Jan-24,T20I # 2430
