Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Mohammad Rizwan,2021-2024,78,73,17,3016,104*,53.85,2360,127.79,1,28,4,248,87
Babar Azam,2021-2024,82,77,6,2511,122,35.36,1951,128.7,3,20,5,271,49
Fakhar Zaman,2021-2024,52,46,3,1010,78,23.48,765,132.02,0,7,4,78,51
Iftikhar Ahmed,2021-2024,55,46,8,810,60,21.31,640,126.56,0,3,2,49,39
Shadab Khan,2021-2024,58,33,8,496,52,19.84,339,146.31,0,1,3,33,25
Mohammad Nawaz (3),2021-2024,44,36,12,464,45*,19.33,335,138.5,0,0,4,37,24
Shan Masood,2022-2022,19,17,4,395,65*,30.38,324,121.91,0,3,2,30,7
Haider Ali,2021-2023,28,25,2,329,68,14.3,283,116.25,0,1,3,29,14
Saim Ayub,2023-2024,23,21,0,309,49,14.71,253,122.13,0,0,3,34,15
Imad Wasim,2021-2024,26,17,4,252,64*,19.38,219,115.06,0,1,0,22,5
Asif Ali,2021-2023,33,27,7,246,27*,12.3,173,142.19,0,0,3,12,18
Khushdil Shah,2021-2023,20,18,4,241,35*,17.21,226,106.63,0,0,0,13,12
Mohammad Hafeez,2021-2021,20,14,2,191,32*,15.91,145,131.72,0,0,0,19,5
Usman Khan,2024-2024,13,12,1,176,52,16,138,127.53,0,1,0,16,4
Shaheen Shah Afridi,2021-2024,55,21,7,163,23*,11.64,130,125.38,0,0,4,9,12
Faheem Ashraf,2021-2023,16,12,2,141,30*,14.1,105,134.28,0,0,0,10,7
Mohammad Haris,2022-2023,9,9,0,126,31,14,99,127.27,0,0,1,9,8
Shoaib Malik,2021-2021,8,5,2,100,54*,33.33,58,172.41,0,1,1,4,8
Irfan Khan,2024-2024,6,5,3,95,37*,47.5,76,125,0,0,1,9,3
Aamer Jamal,2022-2024,6,5,1,88,41,22,49,179.59,0,0,0,5,7
Azam Khan,2021-2024,14,13,3,88,30*,8.8,66,133.33,0,0,4,6,7
Haris Rauf,2021-2024,64,22,9,85,13*,6.53,69,123.18,0,0,4,6,5
Hasan Ali,2021-2024,21,9,5,68,20*,17,34,200,0,0,2,4,6
Abbas Afridi,2024-2024,13,8,2,66,20*,11,56,117.85,0,0,0,4,5
Sohaib Maqsood,2021-2021,6,4,0,52,19,13,33,157.57,0,0,0,5,3
Naseem Shah,2022-2024,30,11,4,51,16,7.28,46,110.86,0,0,4,4,3
Mohammad Wasim (1),2021-2024,29,11,7,46,12*,11.5,53,86.79,0,0,1,5,1
Omair Yousuf,2023-2023,3,3,1,46,24,23,42,109.52,0,0,0,5,1
Sharjeel Khan,2021-2021,6,3,0,46,20,15.33,43,106.97,0,0,0,5,2
Sahibzada Farhan,2024-2024,5,5,0,42,19,8.4,37,113.51,0,0,0,4,1
Tayyab Tahir,2023-2023,3,3,0,39,16,13,41,95.12,0,0,0,5,0
Arafat Minhas,2023-2023,3,2,0,38,25,19,30,126.66,0,0,0,3,2
Danish Aziz,2021-2021,2,2,0,37,22,18.5,35,105.71,0,0,0,1,1
Haseebullah Khan,2024-2024,3,3,0,36,24,12,30,120,0,0,1,4,1
Mirza Baig,2023-2023,3,3,1,36,32*,18,29,124.13,0,0,1,5,2
Usman Qadir,2021-2023,22,9,5,36,18*,9,30,120,0,0,2,3,1
Abdullah Shafique,2023-2023,3,3,0,23,23,7.66,16,143.75,0,0,2,1,2
Hussain Talat,2021-2021,3,3,0,23,15,7.66,24,95.83,0,0,0,2,0
Rohail Nazir,2023-2023,3,2,0,23,13,11.5,23,100,0,0,0,0,3
Qasim Akram,2023-2023,3,2,0,21,12,10.5,30,70,0,0,0,3,0
Mohammad Hasnain,2021-2022,17,8,8,19,8*,-,14,135.71,0,0,0,1,1
Shahnawaz Dahani,2021-2022,11,1,0,16,16,16,6,266.66,0,0,0,0,2
Zaman Khan,2023-2024,10,2,2,8,8*,-,9,88.88,0,0,0,0,1
Usama Mir,2024-2024,5,4,1,7,5,2.33,7,100,0,0,1,1,0
Ihsanullah,2023-2023,4,1,1,6,6*,-,8,75,0,0,0,1,0
Mohammad Amir,2024-2024,12,3,2,6,5,6,4,150,0,0,0,1,0
Sarfaraz Ahmed,2021-2021,2,1,0,6,6,6,12,50,0,0,0,0,0
Agha Salman,2024-2024,3,3,0,5,4,1.66,12,41.66,0,0,1,1,0
Jahandad Khan,2024-2024,1,1,0,5,5,5,10,50,0,0,0,0,0
Sufiyan Muqeem,2023-2024,5,4,1,3,1*,1,8,37.5,0,0,1,0,0
Arshad Iqbal,2021-2023,3,2,0,0,0,0,2,0,0,0,2,0,0
Abrar Ahmed,2024-2024,3,-,-,-,-,-,-,-,-,-,-,-,-
Mubasir Khan,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
Zahid Mahmood,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-
