Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Haris Rauf,2021-2024,64,62,227.4,1,1841,91,Apr-18,20.23,8.08,15,4,0
Shaheen Shah Afridi,2021-2024,55,55,197.3,2,1542,75,Apr-22,20.56,7.8,15.8,2,0
Shadab Khan,2021-2024,58,52,183.4,2,1323,54,04-Aug,24.5,7.2,20.4,2,0
Mohammad Nawaz (3),2021-2024,44,41,133.4,0,1021,38,03-May,26.86,7.63,21.1,0,0
Mohammad Wasim (1),2021-2024,29,29,92.1,0,751,36,Apr-24,20.86,8.14,15.3,2,0
Imad Wasim,2021-2024,26,26,84,1,518,26,03-Aug,19.92,6.16,19.3,0,0
Hasan Ali,2021-2024,21,20,68.4,2,579,25,Apr-18,23.16,8.43,16.4,1,0
Naseem Shah,2022-2024,30,29,108.1,0,867,25,Mar-21,34.68,8.01,25.9,0,0
Usman Qadir,2021-2023,22,18,61,0,513,23,Mar-29,22.3,8.4,15.9,0,0
Abbas Afridi,2024-2024,13,13,38.1,0,335,22,Mar-17,15.22,8.77,10.4,0,0
Mohammad Hasnain,2021-2022,17,16,61,0,556,18,Mar-51,30.88,9.11,20.3,0,0
Mohammad Amir,2024-2024,12,11,40.2,1,295,12,02-Nov,24.58,7.31,20.1,0,0
Shahnawaz Dahani,2021-2022,11,11,35.2,1,320,8,Feb-37,40,9.05,26.5,0,0
Faheem Ashraf,2021-2023,16,15,35.2,0,312,7,Mar-17,44.57,8.83,30.2,0,0
Iftikhar Ahmed,2021-2024,55,21,43.1,0,292,7,Mar-24,41.71,6.76,37,0,0
Mohammad Hafeez,2021-2021,20,11,23,1,155,7,Mar-28,22.14,6.73,19.7,0,0
Zaman Khan,2023-2024,10,10,31.3,0,236,7,01-Apr,33.71,7.49,27,0,0
Ihsanullah,2023-2023,4,4,14.5,0,108,6,Mar-29,18,7.28,14.8,0,0
Sufiyan Muqeem,2023-2024,5,5,15,1,91,6,02-Nov,15.16,6.06,15,0,0
Usama Mir,2024-2024,5,5,20,1,175,5,Feb-21,35,8.75,24,0,0
Arafat Minhas,2023-2023,3,3,8,0,45,4,02-Nov,11.25,5.62,12,0,0
Arshad Iqbal,2021-2023,3,3,9,0,53,4,Mar-14,13.25,5.88,13.5,0,0
Khushdil Shah,2021-2023,20,4,8,0,39,3,Mar-13,13,4.87,16,0,0
Qasim Akram,2023-2023,3,2,3.5,0,23,3,02-May,7.66,6,7.6,0,0
Zahid Mahmood,2021-2021,1,1,4,0,40,3,Mar-40,13.33,10,8,0,0
Aamer Jamal,2022-2024,6,6,16.5,0,187,2,Jan-13,93.5,11.1,50.5,0,0
Abrar Ahmed,2024-2024,3,2,8,0,46,2,Feb-15,23,5.75,24,0,0
Danish Aziz,2021-2021,2,1,3,0,29,2,Feb-29,14.5,9.66,9,0,0
Jahandad Khan,2024-2024,1,1,3,0,17,1,Jan-17,17,5.66,18,0,0
Saim Ayub,2023-2024,23,3,5,0,44,0,-,-,8.8,-,0,0
Shoaib Malik,2021-2021,8,1,2,0,16,0,-,-,8,-,0,0
Abdullah Shafique,2023-2023,3,-,-,-,-,-,-,-,-,-,-,-
Agha Salman,2024-2024,3,-,-,-,-,-,-,-,-,-,-,-
Asif Ali,2021-2023,33,-,-,-,-,-,-,-,-,-,-,-
Azam Khan,2021-2024,14,-,-,-,-,-,-,-,-,-,-,-
Babar Azam,2021-2024,82,-,-,-,-,-,-,-,-,-,-,-
Fakhar Zaman,2021-2024,52,-,-,-,-,-,-,-,-,-,-,-
Haider Ali,2021-2023,28,-,-,-,-,-,-,-,-,-,-,-
Haseebullah Khan,2024-2024,3,-,-,-,-,-,-,-,-,-,-,-
Hussain Talat,2021-2021,3,-,-,-,-,-,-,-,-,-,-,-
Irfan Khan,2024-2024,6,-,-,-,-,-,-,-,-,-,-,-
Mirza Baig,2023-2023,3,-,-,-,-,-,-,-,-,-,-,-
Mohammad Haris,2022-2023,9,-,-,-,-,-,-,-,-,-,-,-
Mohammad Rizwan,2021-2024,78,-,-,-,-,-,-,-,-,-,-,-
Mubasir Khan,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-
Omair Yousuf,2023-2023,3,-,-,-,-,-,-,-,-,-,-,-
Rohail Nazir,2023-2023,3,-,-,-,-,-,-,-,-,-,-,-
Sahibzada Farhan,2024-2024,5,-,-,-,-,-,-,-,-,-,-,-
Sarfaraz Ahmed,2021-2021,2,-,-,-,-,-,-,-,-,-,-,-
Shan Masood,2022-2022,19,-,-,-,-,-,-,-,-,-,-,-
Sharjeel Khan,2021-2021,6,-,-,-,-,-,-,-,-,-,-,-
Sohaib Maqsood,2021-2021,6,-,-,-,-,-,-,-,-,-,-,-
Tayyab Tahir,2023-2023,3,-,-,-,-,-,-,-,-,-,-,-
Usman Khan,2024-2024,13,-,-,-,-,-,-,-,-,-,-,-
