Bat1,Runs,BF,SR,4s,6s,,Opposition,Ground,Start Date,Game
27,27,19,142.1,4,1,,v South Africa,Johannesburg,10-Apr-21,T20I # 1145
8*,8,2,400,2,0,,v South Africa,Centurion,14-Apr-21,T20I # 1147
60,60,34,176.47,5,4,,v South Africa,Centurion,16-Apr-21,T20I # 1148
13,13,14,92.85,2,0,,v Zimbabwe,Harare,21-Apr-21,T20I # 1154
2,2,7,28.57,0,0,,v Zimbabwe,Harare,23-Apr-21,T20I # 1156
0,0,1,0,0,0,,v Zimbabwe,Harare,25-Apr-21,T20I # 1158
26,26,8,325,1,3,,v England,Nottingham,16-Jul-21,T20I # 1191
8,8,8,100,1,0,,v England,Leeds,18-Jul-21,T20I # 1193
24,24,20,120,1,1,,v England,Manchester,20-Jul-21,T20I # 1195
TDNB,-,-,-,-,-,,v West Indies,Bridgetown,28-Jul-21,T20I # 1205
15,15,11,136.36,2,0,,v West Indies,Providence,31-Jul-21,T20I # 1208
TDNB,-,-,-,-,-,,v West Indies,Providence,01-Aug-21,T20I # 1209
TDNB,-,-,-,-,-,,v West Indies,Providence,03-Aug-21,T20I # 1211
DNB,-,-,-,-,-,,v India,Dubai (DICS),24-Oct-21,T20I # 1361
11,11,17,64.7,0,1,,v New Zealand,Sharjah,26-Oct-21,T20I # 1367
30,30,25,120,2,1,,v Afghanistan,Dubai (DICS),29-Oct-21,T20I # 1377
5,5,5,100,0,0,,v Namibia,Abu Dhabi,02-Nov-21,T20I # 1386
8,8,13,61.53,0,0,,v Scotland,Sharjah,07-Nov-21,T20I # 1406
55*,55,32,171.87,3,4,,v Australia,Dubai (DICS),11-Nov-21,T20I # 1420
34,34,36,94.44,4,0,,v Bangladesh,Mirpur,19-Nov-21,T20I # 1439
57*,57,51,111.76,2,3,,v Bangladesh,Mirpur,20-Nov-21,T20I # 1443
10,10,10,100,1,0,,v West Indies,Karachi,13-Dec-21,T20I # 1448
10,10,5,200,1,0,,v West Indies,Karachi,14-Dec-21,T20I # 1449
12,12,8,150,2,0,,v West Indies,Karachi,16-Dec-21,T20I # 1450
0,0,1,0,0,0,,v Australia,Lahore,05-Apr-22,T20I # 1504
10,10,6,166.66,2,0,,v India,Dubai (DICS),28-Aug-22,T20I # 1750
53,53,41,129.26,3,2,,v Hong Kong,Sharjah,02-Sep-22,T20I # 1756
15,15,18,83.33,2,0,,v India,Dubai (DICS),04-Sep-22,T20I # 1758
5,5,9,55.55,1,0,,v Afghanistan,Sharjah,07-Sep-22,T20I # 1760
13,13,18,72.22,1,0,,v Sri Lanka,Dubai (DICS),09-Sep-22,T20I # 1764
0,0,1,0,0,0,,v Sri Lanka,Dubai (DICS),11-Sep-22,T20I # 1769
20,20,16,125,3,0,,v Netherlands,Perth,30-Oct-22,T20I # 1852
47,47,34,138.23,4,2,,v New Zealand,Lahore,14-Apr-23,T20I # 2045
0,0,1,0,0,0,,v New Zealand,Lahore,15-Apr-23,T20I # 2046
17,17,22,77.27,0,1,,v New Zealand,Lahore,17-Apr-23,T20I # 2047
TDNB,-,-,-,-,-,,v New Zealand,Rawalpindi,20-Apr-23,T20I # 2048
15,15,10,150,1,1,,v New Zealand,Auckland,12-Jan-24,T20I # 2429
50,50,25,200,3,5,,v New Zealand,Hamilton,14-Jan-24,T20I # 2430
19,19,10,190,2,1,,v New Zealand,Dunedin,17-Jan-24,T20I # 2434
9,9,15,60,0,0,,v New Zealand,Christchurch,19-Jan-24,T20I # 2437
33,33,16,206.25,1,4,,v New Zealand,Christchurch,21-Jan-24,T20I # 2438
61,61,45,135.55,4,3,,v New Zealand,Lahore,25-Apr-24,T20I # 2582
43,43,33,130.3,4,1,,v New Zealand,Lahore,27-Apr-24,T20I # 2583
20,20,18,111.11,2,1,,v Ireland,Dublin,10-May-24,T20I # 2601
78,78,40,195,6,6,,v Ireland,Dublin,12-May-24,T20I # 2609
DNB,-,-,-,-,-,,v Ireland,Dublin,14-May-24,T20I # 2610
45,45,21,214.28,5,3,,v England,Birmingham,25-May-24,T20I # 2623
9,9,9,100,0,1,,v England,The Oval,30-May-24,T20I # 2631
11,11,7,157.14,0,1,,v U.S.A.,Dallas,06-Jun-24,T20I # 2642
13,13,8,162.5,1,1,,v India,New York,09-Jun-24,T20I # 2658
4,4,6,66.66,0,0,,v Canada,New York,11-Jun-24,T20I # 2665
5,5,9,55.55,0,0,,v Ireland,Lauderhill,16-Jun-24,T20I # 2697
