Bat1,Runs,BF,SR,4s,6s,,Opposition,Ground,Start Date,Game
4,4,8,50,0,0,,v South Africa,Lahore,11-Feb-21,T20I # 1120
20,20,21,95.23,2,0,,v South Africa,Lahore,13-Feb-21,T20I # 1121
6,6,2,300,0,1,,v Bangladesh,Mirpur,22-Nov-21,T20I # 1447
7,7,5,140,1,0,,v West Indies,Karachi,13-Dec-21,T20I # 1448
32,32,19,168.42,1,2,,v West Indies,Karachi,14-Dec-21,T20I # 1449
1*,1,1,100,0,0,,v West Indies,Karachi,16-Dec-21,T20I # 1450
13,13,13,100,1,0,,v Australia,Lahore,05-Apr-22,T20I # 1504
28,28,22,127.27,2,1,,v India,Dubai (DICS),28-Aug-22,T20I # 1750
DNB,-,-,-,-,-,,v Hong Kong,Sharjah,02-Sep-22,T20I # 1756
2*,2,1,200,0,0,,v India,Dubai (DICS),04-Sep-22,T20I # 1758
30,30,33,90.9,2,0,,v Afghanistan,Sharjah,07-Sep-22,T20I # 1760
13,13,17,76.47,0,1,,v Sri Lanka,Dubai (DICS),09-Sep-22,T20I # 1764
32,32,31,103.22,2,1,,v Sri Lanka,Dubai (DICS),11-Sep-22,T20I # 1769
28,28,17,164.7,0,3,,v England,Karachi,20-Sep-22,T20I # 1789
DNB,-,-,-,-,-,,v England,Karachi,22-Sep-22,T20I # 1793
6,6,7,85.71,1,0,,v England,Karachi,23-Sep-22,T20I # 1795
DNB,-,-,-,-,-,,v England,Karachi,25-Sep-22,T20I # 1798
15,15,14,107.14,1,0,,v England,Lahore,28-Sep-22,T20I # 1801
31,31,21,147.61,2,2,,v England,Lahore,30-Sep-22,T20I # 1802
19,19,16,118.75,3,0,,v England,Lahore,02-Oct-22,T20I # 1804
13,13,8,162.5,2,0,,v Bangladesh,Christchurch,07-Oct-22,T20I # 1807
DNB,-,-,-,-,-,,v New Zealand,Christchurch,08-Oct-22,T20I # 1809
27,27,27,100,3,0,,v New Zealand,Christchurch,11-Oct-22,T20I # 1815
DNB,-,-,-,-,-,,v Bangladesh,Christchurch,13-Oct-22,T20I # 1818
25*,25,14,178.57,1,1,,v New Zealand,Christchurch,14-Oct-22,T20I # 1819
51,51,34,150,2,4,,v India,Melbourne,23-Oct-22,T20I # 1842
5,5,10,50,1,0,,v Zimbabwe,Perth,27-Oct-22,T20I # 1849
6*,6,5,120,0,0,,v Netherlands,Perth,30-Oct-22,T20I # 1852
51,51,35,145.71,3,2,,v South Africa,Sydney,03-Nov-22,T20I # 1861
1,1,3,33.33,0,0,,v Bangladesh,Adelaide,06-Nov-22,T20I # 1872
0*,0,0,-,0,0,,v New Zealand,Sydney,09-Nov-22,T20I # 1877
0,0,6,0,0,0,,v England,Melbourne,13-Nov-22,T20I # 1879
31,31,25,124,0,2,,v Afghanistan,Sharjah,27-Mar-23,T20I # 2035
0,0,1,0,0,0,,v New Zealand,Lahore,14-Apr-23,T20I # 2045
33*,33,19,173.68,1,3,,v New Zealand,Lahore,15-Apr-23,T20I # 2046
60,60,24,250,3,6,,v New Zealand,Lahore,17-Apr-23,T20I # 2047
TDNB,-,-,-,-,-,,v New Zealand,Rawalpindi,20-Apr-23,T20I # 2048
36,36,22,163.63,3,2,,v New Zealand,Rawalpindi,24-Apr-23,T20I # 2049
24,24,17,141.17,1,2,,v New Zealand,Auckland,12-Jan-24,T20I # 2429
4,4,8,50,0,0,,v New Zealand,Hamilton,14-Jan-24,T20I # 2430
1,1,4,25,0,0,,v New Zealand,Dunedin,17-Jan-24,T20I # 2434
10,10,14,71.42,0,0,,v New Zealand,Christchurch,19-Jan-24,T20I # 2437
5,5,8,62.5,0,0,,v New Zealand,Christchurch,21-Jan-24,T20I # 2438
TDNB,-,-,-,-,-,,v New Zealand,Rawalpindi,18-Apr-24,T20I # 2575
DNB,-,-,-,-,-,,v New Zealand,Rawalpindi,20-Apr-24,T20I # 2579
2*,2,4,50,0,0,,v New Zealand,Rawalpindi,21-Apr-24,T20I # 2581
23,23,20,115,1,1,,v New Zealand,Lahore,25-Apr-24,T20I # 2582
6,6,7,85.71,0,0,,v New Zealand,Lahore,27-Apr-24,T20I # 2583
37*,37,15,246.66,3,3,,v Ireland,Dublin,10-May-24,T20I # 2601
DNB,-,-,-,-,-,,v Ireland,Dublin,12-May-24,T20I # 2609
5,5,4,125,1,0,,v Ireland,Dublin,14-May-24,T20I # 2610
23,23,17,135.29,1,2,,v England,Birmingham,25-May-24,T20I # 2623
21,21,18,116.66,2,0,,v England,The Oval,30-May-24,T20I # 2631
18,18,14,128.57,3,0,,v U.S.A.,Dallas,06-Jun-24,T20I # 2642
5,5,9,55.55,0,0,,v India,New York,09-Jun-24,T20I # 2658
