Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Ivory Coast,Sierra Leone,Sierra Leone,168 runs,Lagos,"Nov 23, 2024",T20I # 2974
Nigeria,St Helena,Nigeria,118 runs,Lagos,"Nov 23, 2024",T20I # 2975
Qatar,Cambodia,Qatar,48 runs,Doha,"Nov 23, 2024",T20I # 2973
Botswana,Eswatini,Botswana,48 runs,Lagos,"Nov 23, 2024",T20I # 2972
Bahrain,Bhutan,Bahrain,90 runs,Doha,"Nov 23, 2024",T20I # 2970
Thailand,U.A.E.,U.A.E.,155 runs,Doha,"Nov 23, 2024",T20I # 2971
Bhutan,Saudi Arabia,Saudi Arabia,85 runs,Doha,"Nov 22, 2024",T20I # 2969
Cambodia,U.A.E.,U.A.E.,5 wickets,Doha,"Nov 22, 2024",T20I # 2967
Bahrain,Thailand,Thailand,2 wickets,Doha,"Nov 22, 2024",T20I # 2968
Saudi Arabia,U.A.E.,U.A.E.,17 runs,Doha,"Nov 20, 2024",T20I # 2966
Cambodia,Thailand,Thailand,16 runs,Doha,"Nov 20, 2024",T20I # 2964
Qatar,Bhutan,Qatar,6 wickets,Doha,"Nov 20, 2024",T20I # 2965
Bahrain,Saudi Arabia,Bahrain,3 runs,Doha,"Nov 19, 2024",T20I # 2963
Qatar,Thailand,Qatar,5 wickets,Doha,"Nov 19, 2024",T20I # 2961
Bhutan,U.A.E.,U.A.E.,63 runs,Doha,"Nov 19, 2024",T20I # 2962
Indonesia,Myanmar,Indonesia,4 wickets,Bali,"Nov 19, 2024",T20I # 2960
Australia,Pakistan,Australia,7 wickets,Hobart,"Nov 18, 2024",T20I # 2959
West Indies,England,no result,-,Gros Islet,"Nov 17, 2024",T20I # 2958
Indonesia,Myanmar,Indonesia,114 runs,Bali,"Nov 17, 2024",T20I # 2957
West Indies,England,West Indies,5 wickets,Gros Islet,"Nov 16, 2024",T20I # 2956
Oman,Netherlands,Netherlands,29 runs,Al Amerat,"Nov 16, 2024",T20I # 2955
Australia,Pakistan,Australia,13 runs,Sydney,"Nov 16, 2024",T20I # 2954
Indonesia,Myanmar,Indonesia,4 wickets,Bali,"Nov 16, 2024",T20I # 2953
South Africa,India,India,135 runs,Johannesburg,"Nov 15, 2024",T20I # 2952
Indonesia,Myanmar,Indonesia,5 wickets,Bali,"Nov 15, 2024",T20I # 2951
West Indies,England,England,3 wickets,Gros Islet,"Nov 14, 2024",T20I # 2950
Oman,Netherlands,Netherlands,50 runs,Al Amerat,"Nov 14, 2024",T20I # 2949
Australia,Pakistan,Australia,29 runs,Brisbane,"Nov 14, 2024",T20I # 2948
South Africa,India,India,11 runs,Centurion,"Nov 13, 2024",T20I # 2947
Oman,Netherlands,Oman,3 wickets,Al Amerat,"Nov 13, 2024",T20I # 2946
Indonesia,Myanmar,Indonesia,9 wickets,Bali,"Nov 13, 2024",T20I # 2945
Indonesia,Myanmar,Indonesia,136 runs,Bali,"Nov 12, 2024",T20I # 2944
