Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,Game
4,0,21,0,5.25,-,-,,v South Africa,Lahore,11-Feb-21,T20I # 1120
4,0,27,1,6.75,27,24,,v South Africa,Lahore,13-Feb-21,T20I # 1121
2,0,13,2,6.5,6.5,6,,v South Africa,Lahore,14-Feb-21,T20I # 1122
4,0,21,2,5.25,10.5,12,,v South Africa,Johannesburg,10-Apr-21,T20I # 1145
3,0,29,0,9.66,-,-,,v South Africa,Johannesburg,12-Apr-21,T20I # 1146
4,0,38,2,9.5,19,12,,v South Africa,Centurion,14-Apr-21,T20I # 1147
4,0,40,1,10,40,24,,v South Africa,Centurion,16-Apr-21,T20I # 1148
2,0,15,0,7.5,-,-,,v Zimbabwe,Harare,21-Apr-21,T20I # 1154
4,0,27,1,6.75,27,24,,v Bangladesh,Mirpur,19-Nov-21,T20I # 1439
4,0,25,1,6.25,25,24,,v Bangladesh,Mirpur,20-Nov-21,T20I # 1443
1,0,2,0,2,-,-,,v Bangladesh,Mirpur,22-Nov-21,T20I # 1447
4,0,24,1,6,24,24,,v West Indies,Karachi,13-Dec-21,T20I # 1448
4,0,36,2,9,18,12,,v West Indies,Karachi,14-Dec-21,T20I # 1449
3,0,36,0,12,-,-,,v West Indies,Karachi,16-Dec-21,T20I # 1450
3.4,0,33,3,9,11,7.3,,v India,Dubai (DICS),28-Aug-22,T20I # 1750
2,0,5,3,2.5,1.66,4,,v Hong Kong,Sharjah,02-Sep-22,T20I # 1756
4,0,25,1,6.25,25,24,,v India,Dubai (DICS),04-Sep-22,T20I # 1758
4,0,23,1,5.75,23,24,,v Afghanistan,Sharjah,07-Sep-22,T20I # 1760
4,0,21,0,5.25,-,-,,v Sri Lanka,Dubai (DICS),09-Sep-22,T20I # 1764
1,0,3,0,3,-,-,,v Sri Lanka,Dubai (DICS),11-Sep-22,T20I # 1769
4,0,20,0,5,-,-,,v England,Karachi,20-Sep-22,T20I # 1789
4,0,40,1,10,40,24,,v England,Karachi,22-Sep-22,T20I # 1793
4,0,34,0,8.5,-,-,,v England,Karachi,23-Sep-22,T20I # 1795
4,0,35,3,8.75,11.66,8,,v England,Karachi,25-Sep-22,T20I # 1798
2,0,9,1,4.5,9,12,,v England,Lahore,28-Sep-22,T20I # 1801
4,0,43,0,10.75,-,-,,v England,Lahore,30-Sep-22,T20I # 1802
1,0,12,0,12,-,-,,v England,Lahore,02-Oct-22,T20I # 1804
4,0,25,2,6.25,12.5,12,,v Bangladesh,Christchurch,07-Oct-22,T20I # 1807
4,0,44,2,11,22,12,,v New Zealand,Christchurch,08-Oct-22,T20I # 1809
4,0,28,0,7,-,-,,v New Zealand,Christchurch,11-Oct-22,T20I # 1815
3,0,37,1,12.33,37,18,,v Bangladesh,Christchurch,13-Oct-22,T20I # 1818
4,0,33,1,8.25,33,24,,v New Zealand,Christchurch,14-Oct-22,T20I # 1819
4,0,42,2,10.5,21,12,,v India,Melbourne,23-Oct-22,T20I # 1842
-,-,-,-,-,-,-,,v Zimbabwe,Perth,27-Oct-22,T20I # 1849
2,0,11,0,5.5,-,-,,v Netherlands,Perth,30-Oct-22,T20I # 1852
1,0,2,0,2,-,-,,v South Africa,Sydney,03-Nov-22,T20I # 1861
-,-,-,-,-,-,-,,v Bangladesh,Adelaide,06-Nov-22,T20I # 1872
2,0,12,1,6,12,12,,v New Zealand,Sydney,09-Nov-22,T20I # 1877
-,-,-,-,-,-,-,,v England,Melbourne,13-Nov-22,T20I # 1879
4,0,16,0,4,-,-,,v Afghanistan,Sharjah,26-Mar-23,T20I # 2033
1,0,11,0,11,-,-,,v Afghanistan,Sharjah,27-Mar-23,T20I # 2035
4,0,44,1,11,44,24,,v New Zealand,Dunedin,17-Jan-24,T20I # 2434
4,0,41,0,10.25,-,-,,v New Zealand,Christchurch,19-Jan-24,T20I # 2437
4,0,18,2,4.5,9,12,,v New Zealand,Christchurch,21-Jan-24,T20I # 2438
