Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,Game
4,0,44,2,11,22,12,,v South Africa,Lahore,11-Feb-21,T20I # 1120
2,0,26,0,13,-,-,,v South Africa,Lahore,13-Feb-21,T20I # 1121
3,0,37,1,12.33,37,18,,v South Africa,Johannesburg,10-Apr-21,T20I # 1145
4,0,40,0,10,-,-,,v South Africa,Centurion,14-Apr-21,T20I # 1147
3.3,0,18,2,5.14,9,10.5,,v South Africa,Centurion,16-Apr-21,T20I # 1148
4,0,29,1,7.25,29,24,,v Zimbabwe,Harare,21-Apr-21,T20I # 1154
3,0,10,1,3.33,10,18,,v Zimbabwe,Harare,23-Apr-21,T20I # 1156
4,0,34,2,8.5,17,12,,v Zimbabwe,Harare,25-Apr-21,T20I # 1158
4,0,44,1,11,44,24,,v England,Nottingham,16-Jul-21,T20I # 1191
4,0,48,2,12,24,12,,v England,Leeds,18-Jul-21,T20I # 1193
-,-,-,-,-,-,-,,v West Indies,Providence,01-Aug-21,T20I # 1209
-,-,-,-,-,-,-,,v West Indies,Providence,03-Aug-21,T20I # 1211
4,0,25,1,6.25,25,24,,v India,Dubai (DICS),24-Oct-21,T20I # 1361
4,0,22,4,5.5,5.5,6,,v New Zealand,Sharjah,26-Oct-21,T20I # 1367
4,0,37,1,9.25,37,24,,v Afghanistan,Dubai (DICS),29-Oct-21,T20I # 1377
4,0,25,1,6.25,25,24,,v Namibia,Abu Dhabi,02-Nov-21,T20I # 1386
4,0,27,1,6.75,27,24,,v Scotland,Sharjah,07-Nov-21,T20I # 1406
3,0,32,0,10.66,-,-,,v Australia,Dubai (DICS),11-Nov-21,T20I # 1420
4,0,33,0,8.25,-,-,,v Bangladesh,Mirpur,19-Nov-21,T20I # 1439
3,0,13,1,4.33,13,18,,v Bangladesh,Mirpur,20-Nov-21,T20I # 1443
4,0,32,1,8,32,24,,v Bangladesh,Mirpur,22-Nov-21,T20I # 1447
3,0,21,1,7,21,18,,v West Indies,Karachi,13-Dec-21,T20I # 1448
4,0,40,2,10,20,12,,v West Indies,Karachi,14-Dec-21,T20I # 1449
3.1,0,35,1,11.05,35,19,,v Australia,Lahore,05-Apr-22,T20I # 1504
4,0,35,0,8.75,-,-,,v India,Dubai (DICS),28-Aug-22,T20I # 1750
1,0,6,0,6,-,-,,v Hong Kong,Sharjah,02-Sep-22,T20I # 1756
4,0,38,1,9.5,38,24,,v India,Dubai (DICS),04-Sep-22,T20I # 1758
4,0,26,2,6.5,13,12,,v Afghanistan,Sharjah,07-Sep-22,T20I # 1760
3,0,19,2,6.33,9.5,9,,v Sri Lanka,Dubai (DICS),09-Sep-22,T20I # 1764
4,0,29,3,7.25,9.66,8,,v Sri Lanka,Dubai (DICS),11-Sep-22,T20I # 1769
4,0,23,1,5.75,23,24,,v England,Karachi,20-Sep-22,T20I # 1789
4,0,30,2,7.5,15,12,,v England,Karachi,22-Sep-22,T20I # 1793
4,0,39,0,9.75,-,-,,v England,Karachi,23-Sep-22,T20I # 1795
4,0,32,3,8,10.66,8,,v England,Karachi,25-Sep-22,T20I # 1798
4,0,41,2,10.25,20.5,12,,v England,Lahore,28-Sep-22,T20I # 1801
4,0,24,0,6,-,-,,v England,Lahore,02-Oct-22,T20I # 1804
4,0,38,1,9.5,38,24,,v Bangladesh,Christchurch,07-Oct-22,T20I # 1807
4,0,28,3,7,9.33,8,,v New Zealand,Christchurch,08-Oct-22,T20I # 1809
4,0,22,2,5.5,11,12,,v New Zealand,Christchurch,14-Oct-22,T20I # 1819
4,0,36,2,9,18,12,,v India,Melbourne,23-Oct-22,T20I # 1842
4,1,12,1,3,12,24,,v Zimbabwe,Perth,27-Oct-22,T20I # 1849
3,0,10,1,3.33,10,18,,v Netherlands,Perth,30-Oct-22,T20I # 1852
3,0,44,1,14.66,44,18,,v South Africa,Sydney,03-Nov-22,T20I # 1861
4,0,21,1,5.25,21,24,,v Bangladesh,Adelaide,06-Nov-22,T20I # 1872
4,0,32,0,8,-,-,,v New Zealand,Sydney,09-Nov-22,T20I # 1877
4,0,23,2,5.75,11.5,12,,v England,Melbourne,13-Nov-22,T20I # 1879
3.3,0,18,4,5.14,4.5,5.2,,v New Zealand,Lahore,14-Apr-23,T20I # 2045
4,0,27,4,6.75,6.75,6,,v New Zealand,Lahore,15-Apr-23,T20I # 2046
4,0,31,2,7.75,15.5,12,,v New Zealand,Lahore,17-Apr-23,T20I # 2047
3.5,0,35,1,9.13,35,23,,v New Zealand,Rawalpindi,20-Apr-23,T20I # 2048
4,0,39,0,9.75,-,-,,v New Zealand,Rawalpindi,24-Apr-23,T20I # 2049
4,0,34,2,8.5,17,12,,v New Zealand,Auckland,12-Jan-24,T20I # 2429
4,0,38,3,9.5,12.66,8,,v New Zealand,Hamilton,14-Jan-24,T20I # 2430
4,0,60,2,15,30,12,,v New Zealand,Dunedin,17-Jan-24,T20I # 2434
3.1,0,29,0,9.15,-,-,,v New Zealand,Christchurch,19-Jan-24,T20I # 2437
4,0,34,2,8.5,17,12,,v England,Birmingham,25-May-24,T20I # 2623
3.3,0,38,3,10.85,12.66,7,,v England,The Oval,30-May-24,T20I # 2631
4,0,37,1,9.25,37,24,,v U.S.A.,Dallas,06-Jun-24,T20I # 2642
3,0,21,3,7,7,6,,v India,New York,09-Jun-24,T20I # 2658
4,0,26,2,6.5,13,12,,v Canada,New York,11-Jun-24,T20I # 2665
4,0,17,1,4.25,17,24,,v Ireland,Lauderhill,16-Jun-24,T20I # 2697
2,0,21,1,10.5,21,12,,v Australia,Brisbane,14-Nov-24,T20I # 2948
4,0,22,4,5.5,5.5,6,,v Australia,Sydney,16-Nov-24,T20I # 2954
3,0,34,0,11.33,-,-,,v Australia,Hobart,18-Nov-24,T20I # 2959
