Bat1,Runs,BF,SR,4s,6s,,Opposition,Ground,Start Date,Game
104*,104,64,162.5,6,7,,v South Africa,Lahore,11-Feb-21,T20I # 1120
51,51,41,124.39,6,1,,v South Africa,Lahore,13-Feb-21,T20I # 1121
42,42,30,140,5,2,,v South Africa,Lahore,14-Feb-21,T20I # 1122
74*,74,50,148,9,2,,v South Africa,Johannesburg,10-Apr-21,T20I # 1145
0,0,1,0,0,0,,v South Africa,Johannesburg,12-Apr-21,T20I # 1146
73*,73,47,155.31,5,2,,v South Africa,Centurion,14-Apr-21,T20I # 1147
0,0,2,0,0,0,,v South Africa,Centurion,16-Apr-21,T20I # 1148
82*,82,61,134.42,10,1,,v Zimbabwe,Harare,21-Apr-21,T20I # 1154
13,13,18,72.22,1,0,,v Zimbabwe,Harare,23-Apr-21,T20I # 1156
91*,91,60,151.66,5,3,,v Zimbabwe,Harare,25-Apr-21,T20I # 1158
63,63,41,153.65,8,1,,v England,Nottingham,16-Jul-21,T20I # 1191
37,37,29,127.58,3,1,,v England,Leeds,18-Jul-21,T20I # 1193
76*,76,57,133.33,5,3,,v England,Manchester,20-Jul-21,T20I # 1195
TDNB,-,-,-,-,-,,v West Indies,Bridgetown,28-Jul-21,T20I # 1205
46,46,36,127.77,2,2,,v West Indies,Providence,31-Jul-21,T20I # 1208
TDNB,-,-,-,-,-,,v West Indies,Providence,01-Aug-21,T20I # 1209
TDNB,-,-,-,-,-,,v West Indies,Providence,03-Aug-21,T20I # 1211
79*,79,55,143.63,6,3,,v India,Dubai (DICS),24-Oct-21,T20I # 1361
33,33,34,97.05,5,0,,v New Zealand,Sharjah,26-Oct-21,T20I # 1367
8,8,10,80,1,0,,v Afghanistan,Dubai (DICS),29-Oct-21,T20I # 1377
79*,79,50,158,8,4,,v Namibia,Abu Dhabi,02-Nov-21,T20I # 1386
15,15,19,78.94,0,1,,v Scotland,Sharjah,07-Nov-21,T20I # 1406
67,67,52,128.84,3,4,,v Australia,Dubai (DICS),11-Nov-21,T20I # 1420
11,11,11,100,1,0,,v Bangladesh,Mirpur,19-Nov-21,T20I # 1439
39,39,45,86.66,4,0,,v Bangladesh,Mirpur,20-Nov-21,T20I # 1443
40,40,43,93.02,2,1,,v Bangladesh,Mirpur,22-Nov-21,T20I # 1447
78,78,52,150,10,0,,v West Indies,Karachi,13-Dec-21,T20I # 1448
38,38,30,126.66,4,1,,v West Indies,Karachi,14-Dec-21,T20I # 1449
87,87,45,193.33,10,3,,v West Indies,Karachi,16-Dec-21,T20I # 1450
23,23,19,121.05,1,1,,v Australia,Lahore,05-Apr-22,T20I # 1504
43,43,42,102.38,4,1,,v India,Dubai (DICS),28-Aug-22,T20I # 1750
78*,78,57,136.84,6,1,,v Hong Kong,Sharjah,02-Sep-22,T20I # 1756
71,71,51,139.21,6,2,,v India,Dubai (DICS),04-Sep-22,T20I # 1758
20,20,26,76.92,1,1,,v Afghanistan,Sharjah,07-Sep-22,T20I # 1760
14,14,14,100,0,0,,v Sri Lanka,Dubai (DICS),09-Sep-22,T20I # 1764
55,55,49,112.24,4,1,,v Sri Lanka,Dubai (DICS),11-Sep-22,T20I # 1769
68,68,46,147.82,6,2,,v England,Karachi,20-Sep-22,T20I # 1789
88*,88,51,172.54,5,4,,v England,Karachi,22-Sep-22,T20I # 1793
8,8,14,57.14,1,0,,v England,Karachi,23-Sep-22,T20I # 1795
88,88,67,131.34,9,1,,v England,Karachi,25-Sep-22,T20I # 1798
63,63,46,136.95,2,3,,v England,Lahore,28-Sep-22,T20I # 1801
1,1,4,25,0,0,,v England,Lahore,02-Oct-22,T20I # 1804
78*,78,50,156,7,2,,v Bangladesh,Christchurch,07-Oct-22,T20I # 1807
4,4,12,33.33,0,0,,v New Zealand,Christchurch,08-Oct-22,T20I # 1809
16,16,17,94.11,3,0,,v New Zealand,Christchurch,11-Oct-22,T20I # 1815
69,69,56,123.21,4,0,,v Bangladesh,Christchurch,13-Oct-22,T20I # 1818
34,34,29,117.24,4,0,,v New Zealand,Christchurch,14-Oct-22,T20I # 1819
4,4,12,33.33,1,0,,v India,Melbourne,23-Oct-22,T20I # 1842
14,14,16,87.5,1,1,,v Zimbabwe,Perth,27-Oct-22,T20I # 1849
49,49,39,125.64,5,0,,v Netherlands,Perth,30-Oct-22,T20I # 1852
4,4,4,100,1,0,,v South Africa,Sydney,03-Nov-22,T20I # 1861
32,32,32,100,2,1,,v Bangladesh,Adelaide,06-Nov-22,T20I # 1872
57,57,43,132.55,5,0,,v New Zealand,Sydney,09-Nov-22,T20I # 1877
15,15,14,107.14,0,1,,v England,Melbourne,13-Nov-22,T20I # 1879
8,8,10,80,2,0,,v New Zealand,Lahore,14-Apr-23,T20I # 2045
50,50,34,147.05,6,1,,v New Zealand,Lahore,15-Apr-23,T20I # 2046
6,6,10,60,0,0,,v New Zealand,Lahore,17-Apr-23,T20I # 2047
TDNB,-,-,-,-,-,,v New Zealand,Rawalpindi,20-Apr-23,T20I # 2048
98*,98,62,158.06,7,4,,v New Zealand,Rawalpindi,24-Apr-23,T20I # 2049
25,25,14,178.57,2,2,,v New Zealand,Auckland,12-Jan-24,T20I # 2429
7,7,5,140,0,1,,v New Zealand,Hamilton,14-Jan-24,T20I # 2430
24,24,20,120,0,2,,v New Zealand,Dunedin,17-Jan-24,T20I # 2434
90*,90,63,142.85,6,2,,v New Zealand,Christchurch,19-Jan-24,T20I # 2437
38,38,38,100,4,0,,v New Zealand,Christchurch,21-Jan-24,T20I # 2438
TDNB,-,-,-,-,-,,v New Zealand,Rawalpindi,18-Apr-24,T20I # 2575
45*,45,34,132.35,4,1,,v New Zealand,Rawalpindi,20-Apr-24,T20I # 2579
