Bat1,Runs,BF,SR,4s,6s,,Opposition,Ground,Start Date,Game
DNB,-,-,-,-,-,,v England,Nottingham,16-Jul-21,T20I # 1191
36*,36,22,163.63,2,3,,v England,Leeds,18-Jul-21,T20I # 1193
2,2,5,40,0,0,,v England,Manchester,20-Jul-21,T20I # 1195
TDNB,-,-,-,-,-,,v West Indies,Bridgetown,28-Jul-21,T20I # 1205
5,5,4,125,0,0,,v West Indies,Providence,31-Jul-21,T20I # 1208
TDNB,-,-,-,-,-,,v West Indies,Providence,01-Aug-21,T20I # 1209
TDNB,-,-,-,-,-,,v West Indies,Providence,03-Aug-21,T20I # 1211
DNB,-,-,-,-,-,,v India,Dubai (DICS),24-Oct-21,T20I # 1361
DNB,-,-,-,-,-,,v New Zealand,Sharjah,26-Oct-21,T20I # 1367
0*,0,1,0,0,0,,v Afghanistan,Dubai (DICS),29-Oct-21,T20I # 1377
DNB,-,-,-,-,-,,v Namibia,Abu Dhabi,02-Nov-21,T20I # 1386
DNB,-,-,-,-,-,,v Scotland,Sharjah,07-Nov-21,T20I # 1406
DNB,-,-,-,-,-,,v Australia,Dubai (DICS),11-Nov-21,T20I # 1420
21*,21,10,210,1,2,,v Bangladesh,Mirpur,19-Nov-21,T20I # 1439
DNB,-,-,-,-,-,,v Bangladesh,Mirpur,20-Nov-21,T20I # 1443
0*,0,0,-,0,0,,v West Indies,Karachi,13-Dec-21,T20I # 1448
28*,28,12,233.33,1,3,,v West Indies,Karachi,14-Dec-21,T20I # 1449
DNB,-,-,-,-,-,,v West Indies,Karachi,16-Dec-21,T20I # 1450
10,10,9,111.11,1,0,,v India,Dubai (DICS),28-Aug-22,T20I # 1750
DNB,-,-,-,-,-,,v Hong Kong,Sharjah,02-Sep-22,T20I # 1756
DNB,-,-,-,-,-,,v India,Dubai (DICS),04-Sep-22,T20I # 1758
36,36,26,138.46,1,3,,v Afghanistan,Sharjah,07-Sep-22,T20I # 1760
8,8,6,133.33,1,0,,v Sri Lanka,Dubai (DICS),11-Sep-22,T20I # 1769
7,7,2,350,0,1,,v England,Lahore,28-Sep-22,T20I # 1801
DNB,-,-,-,-,-,,v England,Lahore,30-Sep-22,T20I # 1802
DNB,-,-,-,-,-,,v England,Lahore,02-Oct-22,T20I # 1804
DNB,-,-,-,-,-,,v Bangladesh,Christchurch,07-Oct-22,T20I # 1807
34,34,22,154.54,2,2,,v New Zealand,Christchurch,08-Oct-22,T20I # 1809
8,8,7,114.28,1,0,,v New Zealand,Christchurch,11-Oct-22,T20I # 1815
DNB,-,-,-,-,-,,v Bangladesh,Christchurch,13-Oct-22,T20I # 1818
DNB,-,-,-,-,-,,v New Zealand,Christchurch,14-Oct-22,T20I # 1819
5,5,6,83.33,1,0,,v India,Melbourne,23-Oct-22,T20I # 1842
17,17,14,121.42,0,1,,v Zimbabwe,Perth,27-Oct-22,T20I # 1849
4*,4,2,200,1,0,,v Netherlands,Perth,30-Oct-22,T20I # 1852
52,52,22,236.36,3,4,,v South Africa,Sydney,03-Nov-22,T20I # 1861
0*,0,0,-,0,0,,v Bangladesh,Adelaide,06-Nov-22,T20I # 1872
DNB,-,-,-,-,-,,v New Zealand,Sydney,09-Nov-22,T20I # 1877
20,20,14,142.85,2,0,,v England,Melbourne,13-Nov-22,T20I # 1879
12,12,18,66.66,0,0,,v Afghanistan,Sharjah,24-Mar-23,T20I # 2030
32,32,25,128,3,0,,v Afghanistan,Sharjah,26-Mar-23,T20I # 2033
28,28,17,164.7,5,0,,v Afghanistan,Sharjah,27-Mar-23,T20I # 2035
5,5,3,166.66,1,0,,v New Zealand,Lahore,14-Apr-23,T20I # 2045
DNB,-,-,-,-,-,,v New Zealand,Lahore,15-Apr-23,T20I # 2046
16,16,19,84.21,1,0,,v New Zealand,Lahore,17-Apr-23,T20I # 2047
TDNB,-,-,-,-,-,,v New Zealand,Rawalpindi,20-Apr-23,T20I # 2048
DNB,-,-,-,-,-,,v New Zealand,Rawalpindi,24-Apr-23,T20I # 2049
TDNB,-,-,-,-,-,,v New Zealand,Rawalpindi,18-Apr-24,T20I # 2575
DNB,-,-,-,-,-,,v New Zealand,Rawalpindi,20-Apr-24,T20I # 2579
41,41,20,205,4,2,,v New Zealand,Rawalpindi,21-Apr-24,T20I # 2581
7,7,8,87.5,0,0,,v New Zealand,Lahore,25-Apr-24,T20I # 2582
15*,15,5,300,1,1,,v New Zealand,Lahore,27-Apr-24,T20I # 2583
0,0,1,0,0,0,,v Ireland,Dublin,10-May-24,T20I # 2601
3,3,4,75,0,0,,v England,Birmingham,25-May-24,T20I # 2623
0,0,1,0,0,0,,v England,The Oval,30-May-24,T20I # 2631
40,40,25,160,1,3,,v U.S.A.,Dallas,06-Jun-24,T20I # 2642
4,4,7,57.14,0,0,,v India,New York,09-Jun-24,T20I # 2658
DNB,-,-,-,-,-,,v Canada,New York,11-Jun-24,T20I # 2665
0,0,2,0,0,0,,v Ireland,Lauderhill,16-Jun-24,T20I # 2697
