Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,Game
4,0,52,3,13,17.33,8,,v England,Nottingham,16-Jul-21,T20I # 1191
4,0,33,1,8.25,33,24,,v England,Leeds,18-Jul-21,T20I # 1193
3,0,22,1,7.33,22,18,,v England,Manchester,20-Jul-21,T20I # 1195
1,0,8,0,8,-,-,,v West Indies,Bridgetown,28-Jul-21,T20I # 1205
4,0,22,0,5.5,-,-,,v West Indies,Providence,31-Jul-21,T20I # 1208
-,-,-,-,-,-,-,,v West Indies,Providence,01-Aug-21,T20I # 1209
-,-,-,-,-,-,-,,v West Indies,Providence,03-Aug-21,T20I # 1211
4,0,22,1,5.5,22,24,,v India,Dubai (DICS),24-Oct-21,T20I # 1361
3,0,19,0,6.33,-,-,,v New Zealand,Sharjah,26-Oct-21,T20I # 1367
4,0,22,1,5.5,22,24,,v Afghanistan,Dubai (DICS),29-Oct-21,T20I # 1377
4,0,35,1,8.75,35,24,,v Namibia,Abu Dhabi,02-Nov-21,T20I # 1386
4,0,14,2,3.5,7,12,,v Scotland,Sharjah,07-Nov-21,T20I # 1406
4,0,26,4,6.5,6.5,6,,v Australia,Dubai (DICS),11-Nov-21,T20I # 1420
4,1,20,1,5,20,24,,v Bangladesh,Mirpur,19-Nov-21,T20I # 1439
4,0,22,2,5.5,11,12,,v Bangladesh,Mirpur,20-Nov-21,T20I # 1443
4,1,17,3,4.25,5.66,8,,v West Indies,Karachi,13-Dec-21,T20I # 1448
4,0,22,0,5.5,-,-,,v West Indies,Karachi,14-Dec-21,T20I # 1449
4,0,36,0,9,-,-,,v West Indies,Karachi,16-Dec-21,T20I # 1450
4,0,19,0,4.75,-,-,,v India,Dubai (DICS),28-Aug-22,T20I # 1750
2.4,0,8,4,3,2,4,,v Hong Kong,Sharjah,02-Sep-22,T20I # 1756
4,0,31,2,7.75,15.5,12,,v India,Dubai (DICS),04-Sep-22,T20I # 1758
4,0,27,1,6.75,27,24,,v Afghanistan,Sharjah,07-Sep-22,T20I # 1760
4,0,28,1,7,28,24,,v Sri Lanka,Dubai (DICS),11-Sep-22,T20I # 1769
4,0,25,1,6.25,25,24,,v England,Lahore,28-Sep-22,T20I # 1801
4,0,34,2,8.5,17,12,,v England,Lahore,30-Sep-22,T20I # 1802
3,0,39,0,13,-,-,,v England,Lahore,02-Oct-22,T20I # 1804
4,0,30,1,7.5,30,24,,v Bangladesh,Christchurch,07-Oct-22,T20I # 1807
4,0,21,0,5.25,-,-,,v New Zealand,Christchurch,08-Oct-22,T20I # 1809
4,0,26,1,6.5,26,24,,v New Zealand,Christchurch,11-Oct-22,T20I # 1815
4,0,31,0,7.75,-,-,,v Bangladesh,Christchurch,13-Oct-22,T20I # 1818
4,0,30,1,7.5,30,24,,v New Zealand,Christchurch,14-Oct-22,T20I # 1819
4,0,21,0,5.25,-,-,,v India,Melbourne,23-Oct-22,T20I # 1842
4,0,23,3,5.75,7.66,8,,v Zimbabwe,Perth,27-Oct-22,T20I # 1849
4,0,22,3,5.5,7.33,8,,v Netherlands,Perth,30-Oct-22,T20I # 1852
2,0,16,2,8,8,6,,v South Africa,Sydney,03-Nov-22,T20I # 1861
4,0,30,2,7.5,15,12,,v Bangladesh,Adelaide,06-Nov-22,T20I # 1872
4,0,33,0,8.25,-,-,,v New Zealand,Sydney,09-Nov-22,T20I # 1877
4,0,20,1,5,20,24,,v England,Melbourne,13-Nov-22,T20I # 1879
3,0,15,0,5,-,-,,v Afghanistan,Sharjah,24-Mar-23,T20I # 2030
4,0,24,0,6,-,-,,v Afghanistan,Sharjah,26-Mar-23,T20I # 2033
4,0,13,3,3.25,4.33,8,,v Afghanistan,Sharjah,27-Mar-23,T20I # 2035
3,0,29,1,9.66,29,18,,v New Zealand,Lahore,14-Apr-23,T20I # 2045
3,0,27,1,9,27,18,,v New Zealand,Lahore,15-Apr-23,T20I # 2046
4,0,34,1,8.5,34,24,,v New Zealand,Lahore,17-Apr-23,T20I # 2047
3,0,25,0,8.33,-,-,,v New Zealand,Rawalpindi,20-Apr-23,T20I # 2048
2,0,29,0,14.5,-,-,,v New Zealand,Rawalpindi,24-Apr-23,T20I # 2049
-,-,-,-,-,-,-,,v New Zealand,Rawalpindi,18-Apr-24,T20I # 2575
3,0,15,2,5,7.5,9,,v New Zealand,Rawalpindi,20-Apr-24,T20I # 2579
3,0,24,0,8,-,-,,v New Zealand,Rawalpindi,21-Apr-24,T20I # 2581
-,-,-,-,-,-,-,,v New Zealand,Lahore,25-Apr-24,T20I # 2582
2,0,15,1,7.5,15,12,,v New Zealand,Lahore,27-Apr-24,T20I # 2583
4,0,54,0,13.5,-,-,,v Ireland,Dublin,10-May-24,T20I # 2601
4,0,55,0,13.75,-,-,,v England,Birmingham,25-May-24,T20I # 2623
3,0,20,0,6.66,-,-,,v England,The Oval,30-May-24,T20I # 2631
3,0,27,0,9,-,-,,v U.S.A.,Dallas,06-Jun-24,T20I # 2642
-,-,-,-,-,-,-,,v India,New York,09-Jun-24,T20I # 2658
-,-,-,-,-,-,-,,v Canada,New York,11-Jun-24,T20I # 2665
1,0,11,0,11,-,-,,v Ireland,Lauderhill,16-Jun-24,T20I # 2697
