Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,Game
4,0,37,0,9.25,-,-,,v South Africa,Lahore,11-Feb-21,T20I # 1120
3,1,18,2,6,9,9,,v South Africa,Lahore,13-Feb-21,T20I # 1121
4,0,28,0,7,-,-,,v South Africa,Lahore,14-Feb-21,T20I # 1122
4,0,45,1,11.25,45,24,,v South Africa,Johannesburg,10-Apr-21,T20I # 1145
3,0,30,0,10,-,-,,v South Africa,Johannesburg,12-Apr-21,T20I # 1146
4,0,39,1,9.75,39,24,,v South Africa,Centurion,14-Apr-21,T20I # 1147
4,0,19,1,4.75,19,24,,v South Africa,Centurion,16-Apr-21,T20I # 1148
3.2,0,30,3,9,10,6.6,,v England,Nottingham,16-Jul-21,T20I # 1191
3.5,0,28,1,7.3,28,23,,v England,Leeds,18-Jul-21,T20I # 1193
1,0,16,0,16,-,-,,v England,Manchester,20-Jul-21,T20I # 1195
2,0,20,0,10,-,-,,v West Indies,Bridgetown,28-Jul-21,T20I # 1205
4,0,44,1,11,44,24,,v West Indies,Providence,31-Jul-21,T20I # 1208
4,0,31,3,7.75,10.33,8,,v India,Dubai (DICS),24-Oct-21,T20I # 1361
4,1,21,1,5.25,21,24,,v New Zealand,Sharjah,26-Oct-21,T20I # 1367
4,0,22,1,5.5,22,24,,v Afghanistan,Dubai (DICS),29-Oct-21,T20I # 1377
4,0,36,0,9,-,-,,v Namibia,Abu Dhabi,02-Nov-21,T20I # 1386
4,0,24,1,6,24,24,,v Scotland,Sharjah,07-Nov-21,T20I # 1406
4,0,35,1,8.75,35,24,,v Australia,Dubai (DICS),11-Nov-21,T20I # 1420
4,0,15,2,3.75,7.5,12,,v Bangladesh,Mirpur,20-Nov-21,T20I # 1443
4,0,35,1,8.75,35,24,,v West Indies,Karachi,13-Dec-21,T20I # 1448
4,0,26,3,6.5,8.66,8,,v West Indies,Karachi,14-Dec-21,T20I # 1449
4,0,21,2,5.25,10.5,12,,v Australia,Lahore,05-Apr-22,T20I # 1504
4,0,34,0,8.5,-,-,,v India,Melbourne,23-Oct-22,T20I # 1842
4,0,29,0,7.25,-,-,,v Zimbabwe,Perth,27-Oct-22,T20I # 1849
4,0,19,1,4.75,19,24,,v Netherlands,Perth,30-Oct-22,T20I # 1852
3,0,14,3,4.66,4.66,6,,v South Africa,Sydney,03-Nov-22,T20I # 1861
4,0,22,4,5.5,5.5,6,,v Bangladesh,Adelaide,06-Nov-22,T20I # 1872
4,0,24,2,6,12,12,,v New Zealand,Sydney,09-Nov-22,T20I # 1877
2.1,0,13,1,6,13,13,,v England,Melbourne,13-Nov-22,T20I # 1879
2,0,11,1,5.5,11,12,,v New Zealand,Lahore,14-Apr-23,T20I # 2045
4,0,25,0,6.25,-,-,,v New Zealand,Lahore,15-Apr-23,T20I # 2046
4,0,33,2,8.25,16.5,12,,v New Zealand,Lahore,17-Apr-23,T20I # 2047
4,0,40,1,10,40,24,,v New Zealand,Rawalpindi,20-Apr-23,T20I # 2048
4,0,48,2,12,24,12,,v New Zealand,Rawalpindi,24-Apr-23,T20I # 2049
4,0,46,3,11.5,15.33,8,,v New Zealand,Auckland,12-Jan-24,T20I # 2429
4,0,30,0,7.5,-,-,,v New Zealand,Hamilton,14-Jan-24,T20I # 2430
4,0,43,1,10.75,43,24,,v New Zealand,Dunedin,17-Jan-24,T20I # 2434
4,0,34,3,8.5,11.33,8,,v New Zealand,Christchurch,19-Jan-24,T20I # 2437
3.2,0,20,2,6,10,10,,v New Zealand,Christchurch,21-Jan-24,T20I # 2438
0.2,0,0,1,0,0,2,,v New Zealand,Rawalpindi,18-Apr-24,T20I # 2575
3.1,0,13,3,4.1,4.33,6.3,,v New Zealand,Rawalpindi,20-Apr-24,T20I # 2579
3.2,0,37,0,11.1,-,-,,v New Zealand,Rawalpindi,21-Apr-24,T20I # 2581
4,0,30,4,7.5,7.5,6,,v New Zealand,Lahore,27-Apr-24,T20I # 2583
4,0,26,1,6.5,26,24,,v Ireland,Dublin,10-May-24,T20I # 2601
4,0,49,3,12.25,16.33,8,,v Ireland,Dublin,12-May-24,T20I # 2609
4,0,14,3,3.5,4.66,8,,v Ireland,Dublin,14-May-24,T20I # 2610
4,0,36,3,9,12,8,,v England,Birmingham,25-May-24,T20I # 2623
3,0,20,0,6.66,-,-,,v England,The Oval,30-May-24,T20I # 2631
4,0,33,0,8.25,-,-,,v U.S.A.,Dallas,06-Jun-24,T20I # 2642
4,0,29,1,7.25,29,24,,v India,New York,09-Jun-24,T20I # 2658
4,0,21,1,5.25,21,24,,v Canada,New York,11-Jun-24,T20I # 2665
4,0,22,3,5.5,7.33,8,,v Ireland,Lauderhill,16-Jun-24,T20I # 2697
2,0,25,0,12.5,-,-,,v Australia,Brisbane,14-Nov-24,T20I # 2948
4,0,39,0,9.75,-,-,,v Australia,Sydney,16-Nov-24,T20I # 2954
3,0,43,1,14.33,43,18,,v Australia,Hobart,18-Nov-24,T20I # 2959
