Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,Game
2,0,20,1,10,20,12,,v West Indies,Bridgetown,28-Jul-21,T20I # 1205
3,0,32,1,10.66,32,18,,v West Indies,Providence,31-Jul-21,T20I # 1208
0.2,0,6,0,18,-,-,,v West Indies,Providence,01-Aug-21,T20I # 1209
1,0,11,0,11,-,-,,v West Indies,Providence,03-Aug-21,T20I # 1211
4,0,24,2,6,12,12,,v Bangladesh,Mirpur,19-Nov-21,T20I # 1439
3,0,9,1,3,9,18,,v Bangladesh,Mirpur,20-Nov-21,T20I # 1443
4,0,15,2,3.75,7.5,12,,v Bangladesh,Mirpur,22-Nov-21,T20I # 1447
4,0,40,4,10,10,6,,v West Indies,Karachi,13-Dec-21,T20I # 1448
4,0,39,2,9.75,19.5,12,,v West Indies,Karachi,14-Dec-21,T20I # 1449
4,0,44,2,11,22,12,,v West Indies,Karachi,16-Dec-21,T20I # 1450
4,0,30,2,7.5,15,12,,v Australia,Lahore,05-Apr-22,T20I # 1504
3.2,0,30,1,9,30,20,,v England,Karachi,25-Sep-22,T20I # 1798
4,0,32,1,8,32,24,,v England,Lahore,28-Sep-22,T20I # 1801
2.3,0,29,0,11.6,-,-,,v England,Lahore,30-Sep-22,T20I # 1802
4,0,61,0,15.25,-,-,,v England,Lahore,02-Oct-22,T20I # 1804
4,0,24,3,6,8,8,,v Bangladesh,Christchurch,07-Oct-22,T20I # 1807
4,0,20,2,5,10,12,,v New Zealand,Christchurch,08-Oct-22,T20I # 1809
2,0,19,0,9.5,-,-,,v New Zealand,Christchurch,11-Oct-22,T20I # 1815
4,0,33,2,8.25,16.5,12,,v Bangladesh,Christchurch,13-Oct-22,T20I # 1818
4,0,37,0,9.25,-,-,,v New Zealand,Christchurch,14-Oct-22,T20I # 1819
4,0,24,4,6,6,6,,v Zimbabwe,Perth,27-Oct-22,T20I # 1849
3,0,15,2,5,7.5,9,,v Netherlands,Perth,30-Oct-22,T20I # 1852
2,0,13,1,6.5,13,12,,v South Africa,Sydney,03-Nov-22,T20I # 1861
2,0,19,0,9.5,-,-,,v Bangladesh,Adelaide,06-Nov-22,T20I # 1872
2,0,15,0,7.5,-,-,,v New Zealand,Sydney,09-Nov-22,T20I # 1877
4,0,38,1,9.5,38,24,,v England,Melbourne,13-Nov-22,T20I # 1879
3,0,13,1,4.33,13,18,,v Afghanistan,Sharjah,27-Mar-23,T20I # 2035
4,0,35,1,8.75,35,24,,v New Zealand,Dunedin,17-Jan-24,T20I # 2434
3,0,24,0,8,-,-,,v New Zealand,Christchurch,19-Jan-24,T20I # 2437
